,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
1682,Five &amp; 2 Retro Bistro,"97 Hougang Avenue 8, Singapore 538792 Singapore","97 Hougang Ave 8, Punggol Park, Singapore 538792",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ6fchSkYW2jERneXKh4lPJ5E,2,1.3750035,103.8983496,None,,40,40,40,40,4.5,23,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,Let's Eat,"177 River Valley Road Liang Court Liang Court, Singapore 179030 Singapore","177 #01-01, River Valley Rd, Liang Court, Singapore 179030",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJL2ht1qEZ2jERBIFWFjK5sZ8,nil,1.2917316,103.8449742,None,,40,35,45,nil,4.0,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,5 Senses Bistro,"107 North Bridge Road #02-17, Singapore 179105 Singapore","107 North Bridge Rd, #02-17, Singapore 179105",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJI4htmLQi2jERlYiUJMZ3Taw,2,1.2914279,103.8500794,None,,45,45,45,45,4.5,17,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1779,Durian Empire - Punggol,"168 Punggol Field, Punggol Plaza Basement 1 Atrium, Singapore 820168 Singapore","Punggol Plaza, 168 Punggol Field, Basement 1 Atrium, Singapore 820168",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJ4-ysYQIW2jER-y0M5e0snCg,nil,1.3938372,103.9131447,"Sun5:30 PM - 10:30 PM,Mon5:30 PM - 10:30 PM,Tue5:30 PM - 10:30 PM,Wed5:30 PM - 10:30 PM,Thu5:30 PM - 10:30 PM,Fri5:30 PM - 11:00 PM,Sat5:30 PM - 11:00 PM",,nil,nil,nil,nil,4.5,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1829,Buddy Hoagies - Bukit Timah,"170 Upper Bukit Timah Road Bukit Timah Shopping Centre #B1-05 Bt Timah Shopping Centre, Singapore 588179 Singapore","170 Upper Bukit Timah Rd, #B1, #05, Singapore 588179",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJyd5nY4oQ2jERRdOues0DbgE,2,1.3432081,103.7760353,None,,40,45,45,nil,4.5,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,津津餐室,"19 Purvis St, Singapore 188598, Singapore Singapore","19 Purvis St, Singapore 188598",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJr7sbd6UZ2jERjOK7OE59w1A,1,1.2963222,103.8556139,"Sun11:30 AM - 9:00 PM,Mon11:30 AM - 9:00 PM,Tue11:30 AM - 9:00 PM,Wed11:30 AM - 9:00 PM,Thu11:30 AM - 9:00 PM,Fri11:30 AM - 9:00 PM,Sat11:30 AM - 9:00 PM",,40,30,40,nil,4.0,29,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,Clan Cafe,"31 Bukit Pasoh Road, Singapore 089845 Singapore","31 Bukit Pasoh Rd, Singapore 089845",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJFRTqIaQZ2jERuFdG6IMkwn8,nil,1.279295,103.840375,"Mon09:00 AM - 10:00 PM,Tue09:00 AM - 10:00 PM,Wed09:00 AM - 10:00 PM,Thu09:00 AM - 10:00 PM,Fri09:00 AM - 10:00 PM,Sat09:00 AM - 10:00 PM",,40,45,35,45,4.5,18,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1892,Toast Box,"2 Bayfront Avenue Marina Bay Sands, Singapore 018972 Singapore","2 Bayfront Ave, # B1 - 01E, Singapore 018956",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,ChIJ3T7AJwQZ2jERzHpCgdtWOXQ,1,1.2824709,103.8578753,"Sun07:30 AM - 11:00 PM,Mon07:30 AM - 10:30 PM,Tue07:30 AM - 10:30 PM,Wed07:30 AM - 10:30 PM,Thu07:30 AM - 10:30 PM,Fri07:30 AM - 10:30 PM,Sat07:30 AM - 11:00 PM",,40,35,45,nil,4.5,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,The Fullerton Pavilion,"No. 8 2 Collyer Quay, Singapore 049326 Singapore","82 Collyer Quay, Singapore 049213",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ChIJgf--0wgZ2jERQqSXy2caw1U,nil,1.2845792,103.8539645,None,,45,45,40,nil,4.5,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Catfish,"5 Gemmill Lane #01-01 the Box, Singapore 069261 Singapore","5 Gemmill Ln, #01-01, Singapore 069261",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJpeYjXwMZ2jER6eiUtFVHSv8,nil,1.2824539,103.8472139,"Sun12:00 PM - 10:00 PM,Mon12:00 PM - 10:00 PM,Tue12:00 PM - 10:00 PM,Wed12:00 PM - 10:00 PM,Thu12:00 PM - 10:00 PM,Fri12:00 PM - 10:00 PM,Sat6:00 PM - 10:00 PM",,45,40,40,40,4.0,25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
