,name,location,lat,lon,formatted_address,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
10,Waterfall Ristorante Italiano,"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore",nil,nil,nil,"Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",,45,40,40,45,4.5,"1,158",True,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jade,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore",nil,nil,nil,"Sun11:30 AM - 1:00 PM1:30 PM - 3:00 PM6:30 PM - 10:30 PM,Mon11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Tue11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Wed11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Thu11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Fri11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Sat11:30 AM - 1:00 PM1:30 PM - 3:00 PM6:30 PM - 10:30 PM",nil,40,40,40,40,4.5,"1,038",True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,L'eclair Patisserie,"78 Airport Boulevard 01-235 Jewel Changi Airport, Singapore 819666 Singapore",nil,nil,nil,"Sun09:00 AM - 11:00 PM,Mon09:00 AM - 11:00 PM,Tue09:00 AM - 11:00 PM,Wed09:00 AM - 11:00 PM,Thu09:00 AM - 11:00 PM,Fri09:00 AM - 11:00 PM,Sat09:00 AM - 11:00 PM",,nil,nil,nil,nil,4.5,6,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Josephine - French Cuisine &amp; Wine Bar,"97 Amoy Street, Singapore 069917 Singapore",nil,nil,nil,"Mon11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Tue11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Wed11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Thu11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Fri11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Sat11:45 AM - 2:00 PM6:00 PM - 10:30 PM",nil,50,50,50,nil,5.0,362,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Positano Risto,"66 Bussorah Street, Singapore 199479 Singapore",nil,nil,nil,"Sun11:30 AM - 9:30 PM,Mon11:30 AM - 9:30 PM,Tue11:30 AM - 9:30 PM,Wed11:30 AM - 9:30 PM,Thu11:30 AM - 9:30 PM,Fri11:30 AM - 10:30 PM,Sat11:30 AM - 10:30 PM",nil,45,45,45,40,5.0,"1,766",True,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,NOX - Dine In The Dark,"83 Club Street, Singapore 199546 Singapore",nil,nil,nil,"Sun6:00 PM - 12:00 AM,Tue6:00 PM - 12:00 AM,Wed6:00 PM - 12:00 AM,Thu6:00 PM - 12:00 AM,Fri6:00 PM - 12:00 AM,Sat6:00 PM - 12:00 AM",,45,45,40,45,4.5,"2,023",True,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Hua Ting Restaurant,"442 Orchard Road Orchard Hotel Singapore Level 2 Orchard Hotel Singapore, Singapore 238879 Singapore",nil,nil,nil,"Sun11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Mon11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Sat11:00 AM - 2:30 PM6:00 PM - 10:00 PM",nil,45,40,35,35,4.5,679,True,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Whitegrass,"30 Victoria Street #01-26 Chijmes, Singapore 187996 Singapore",nil,nil,nil,"Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:30 PM",nil,45,45,45,45,4.5,418,True,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Chef's Table by Chef Stephan Zoisl,"61 Tras Street, Singapore 079000 Singapore",nil,nil,nil,"Tue6:00 PM - 12:00 AM,Wed6:00 PM - 12:00 AM,Thu6:00 PM - 12:00 AM,Fri12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Sat6:00 PM - 12:00 AM",,50,50,45,45,5.0,445,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,Fat Belly Social Steakhouse,"10 Jalan Serene #01-04 Serene Centre, Singapore 069620 Singapore",nil,nil,nil,"Mon11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Tue11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Wed11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Thu11:30 AM - 3:30 PM5:30 PM - 11:00 PM,Fri11:30 AM - 3:30 PM5:30 PM - 11:00 PM,Sat5:30 PM - 11:00 PM",,50,50,45,nil,5.0,99,True,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Colony,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia, Singapore 039799 Singapore",nil,nil,nil,"Sun12:00 PM - 3:30 PM6:30 PM - 10:30 PM,Mon12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Tue12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Wed12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Thu12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Fri12:00 PM - 5:30 PM6:30 PM - 10:30 PM,Sat12:00 PM - 5:30 PM6:30 PM - 10:30 PM",nil,45,45,45,45,4.5,"2,685",True,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Merci Marcel Club Street,"9 Club Street, Singapore 069404 Singapore",nil,nil,nil,"Sun08:00 AM - 11:00 PM,Mon08:00 AM - 12:00 AM,Tue08:00 AM - 12:00 AM,Wed08:00 AM - 12:00 AM,Thu08:00 AM - 12:00 AM,Fri08:00 AM - 12:00 AM,Sat08:00 AM - 12:00 AM",nil,45,45,45,nil,5.0,198,True,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Shivam Restaurant,"87 Syed Alwi Road, Singapore 207666 Singapore",nil,nil,nil,"Sun11:30 AM - 11:30 PM,Mon11:30 AM - 11:30 PM,Tue11:30 AM - 11:30 PM,Wed11:30 AM - 11:30 PM,Thu11:30 AM - 11:30 PM,Fri11:30 AM - 11:30 PM,Sat11:30 AM - 11:30 PM",,45,45,45,nil,5.0,188,True,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Origin Grill,"22 Orange Grove Road Shangri-La Hotel Tower Wing, Lobby Level, Singapore 258350 Singapore",nil,nil,nil,"Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",nil,45,45,45,45,5.0,745,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
24,The Rose Veranda,"22 Orange Grove Road, Shangri-La Hotel Tower Wing, Mezzanine Level, Singapore 258350 Singapore",nil,nil,nil,"Sun1:00 PM - 5:00 PM,Mon1:00 PM - 5:00 PM,Tue1:00 PM - 5:00 PM,Wed1:00 PM - 5:00 PM,Thu1:00 PM - 5:00 PM,Fri1:00 PM - 5:00 PM,Sat1:00 PM - 5:00 PM",,40,45,40,45,4.5,369,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Summer Pavilion,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Singapore 039799 Singapore",nil,nil,nil,"Sun11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Mon11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Tue11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Wed11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Thu11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Fri11:30 AM - 2:30 PM6:30 PM - 10:30 PM,Sat11:30 AM - 2:30 PM6:30 PM - 10:30 PM",nil,45,50,40,50,4.5,963,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dolce Vita,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore",nil,nil,nil,"Sun12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:30 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:30 PM - 10:30 PM",nil,45,45,40,45,4.5,835,True,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Song Garden,"122 Middle Road Mercure Singapore Bugis Level 2, Singapore 188973 Singapore",nil,nil,nil,"Sun10:00 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat10:00 AM - 10:00 PM",nil,45,45,40,nil,5.0,277,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Cherry Garden,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore",nil,nil,nil,"Sun11:00 AM - 3:30 PM6:30 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:30 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:30 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:30 PM - 10:00 PM,Sat11:00 AM - 3:30 PM6:30 PM - 10:00 PM",,45,45,40,45,4.5,820,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Beast &amp; Butterflies,"90 Robertson Quay, Singapore 238259 Singapore",nil,nil,nil,"Sun06:30 AM - 11:00 PM,Mon06:30 AM - 11:00 PM,Tue06:30 AM - 11:00 PM,Wed06:30 AM - 11:00 PM,Thu06:30 AM - 11:00 PM,Fri06:30 AM - 11:30 PM,Sat06:30 AM - 11:30 PM",,40,40,40,45,4.5,872,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Rakuya,"89 East Coast Road, Singapore 428790 Singapore",nil,nil,nil,"Sun12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Tue12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Wed12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Thu12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Fri12:00 PM - 3:00 PM6:00 PM - 9:30 PM,Sat12:00 PM - 3:00 PM6:00 PM - 9:30 PM",,35,35,35,nil,4.0,21,True,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,Oscar's,"2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982 Singapore",nil,nil,nil,"Sun07:00 AM - 10:30 PM,Mon07:00 AM - 10:30 PM,Tue07:00 AM - 10:30 PM,Wed07:00 AM - 10:30 PM,Thu07:00 AM - 10:30 PM,Fri07:00 AM - 10:30 PM,Sat07:00 AM - 10:30 PM",nil,40,45,35,40,4.5,"2,106",True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Fu Lin Men Chinese Restaurant (SRC),"B Connaught Drive, S179682 Level 2, Singapore Recreation Club, Singapore 179682 Singapore",nil,nil,nil,"Sun11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Mon11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Tue11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Wed11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Thu11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Fri11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Sat11:30 AM - 3:00 PM5:30 PM - 10:00 PM",,45,50,45,nil,5.0,188,True,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Lobby Lounge at Conrad Centennial Singapore,"2 Temasek Boulevard Conrad Centennial Singapore, Singapore 038982 Singapore",nil,nil,nil,"Sun11:00 AM - 10:30 PM,Mon08:00 AM - 10:30 PM,Tue08:00 AM - 10:30 PM,Wed08:00 AM - 10:30 PM,Thu08:00 AM - 10:30 PM,Fri08:00 AM - 10:30 PM,Sat11:00 AM - 10:30 PM",,40,45,40,45,4.5,559,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Fat Belly,"10 Jalan Serene Serene Centre Serence Centre #01-04, Singapore 258748 Singapore",nil,nil,nil,"Sun6:00 PM - 10:00 PM,Mon6:00 PM - 10:00 PM,Tue6:00 PM - 10:00 PM,Thu6:00 PM - 10:00 PM,Fri6:00 PM - 11:00 PM,Sat6:00 PM - 11:00 PM",,50,45,45,nil,5.0,281,True,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Fu Lin Men Cantonese Dining,"21 Amber Road Chinese Swimming Club, Singapore 439870 Singapore",nil,nil,nil,"Sun10:30 AM - 3:00 PM5:30 PM - 10:00 PM,Mon11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Tue11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Wed11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Thu11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Fri11:30 AM - 3:00 PM5:30 PM - 10:00 PM,Sat10:30 AM - 3:00 PM5:30 PM - 10:00 PM",nil,50,50,45,nil,5.0,288,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Katachi Style Sushi,"15 Stamford Road The Capitol Kempinski Hotel Singapore #01-82 Capitol Kempinski, Singapore 178906 Singapore",nil,nil,nil,"Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",,35,25,35,nil,4.0,25,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
37,Ginett Restaurant &amp; Wine Bar,"200 Middle Road Hotel G Singapore, Singapore 188980 Singapore",nil,nil,nil,"Sun11:30 AM - 10:30 PM,Mon11:30 AM - 10:30 PM,Tue11:30 AM - 10:30 PM,Wed11:30 AM - 10:30 PM,Thu11:30 AM - 10:30 PM,Fri11:30 AM - 10:30 PM,Sat11:30 AM - 10:30 PM",nil,45,40,45,nil,4.5,"1,091",True,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Melt Café,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore",nil,nil,nil,"Sun07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Mon07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Tue07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Wed07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Thu07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Fri07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Sat07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM",nil,40,45,40,40,4.5,"1,932",True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Akira Back,"30 Beach Road, Access via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore",nil,nil,nil,"Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",,45,45,40,45,4.5,939,True,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Cut by Wolfgang Puck,"2 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay Sands, B1-71 , Galleria Level, Singapore 018972 Singapore",nil,nil,nil,"Sun5:00 PM - 10:00 PM,Mon5:00 PM - 10:00 PM,Tue5:00 PM - 10:00 PM,Wed5:00 PM - 10:00 PM,Thu5:00 PM - 10:00 PM,Fri5:00 PM - 10:00 PM,Sat5:00 PM - 10:00 PM",nil,45,45,35,40,4.5,"1,559",True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Fu Lin Men (NSRCC),"10 Changi Coast Walk Level 1 National Service Resort &amp; Country Club, Singapore 499739 Singapore",nil,nil,nil,"Sun10:00 AM - 3:00 PM5:30 PM - 10:30 PM,Mon11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Tue11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Wed11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Thu11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Fri11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Sat10:00 AM - 3:00 PM5:30 PM - 10:30 PM",,50,50,50,nil,5.0,189,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
