,Unnamed: 0,name,location,formatted_address,icon,place_id,price_level,lat,lon,working_hours,price_range,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt,has,American,Chinese,European,Pubs,Italian,Diner,Healthy,Japanese,Malaysian,Middle Eastern,Vietnamese,Barbecue,French,Indian,Indonesian,Korean,Lebanese,Philippine,Singaporean,Sri Lankan,Thai,Bakeries,Cafe,Contemporary,Dessert,Fast food,Fusion,Halal,Kosher,Pizza,Quick Bites,Seafood,Soups,Street Food,Sushi
10,10,Waterfall Ristorante Italiano,"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore","22 Orange Grove Rd, Level One, Garden Wing, Singapore 258350",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJEU6YevQZ2jER4gbYl-0KQss,3,1.3117795,103.8261646,"Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",,45,40,40,45,4.5,"1,158",True,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Jade,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore","1 Fullerton Square, Singapore 049178",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJbxecDwkZ2jER0yu4AVyCuK0,nil,1.286448,103.8532374,"Sun11:30 AM - 1:00 PM1:30 PM - 3:00 PM6:30 PM - 10:30 PM,Mon11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Tue11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Wed11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Thu11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Fri11:30 AM - 3:00 PM6:30 PM - 10:30 PM,Sat11:30 AM - 1:00 PM1:30 PM - 3:00 PM6:30 PM - 10:30 PM",nil,40,40,40,40,4.5,"1,038",True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,L'eclair Patisserie,"78 Airport Boulevard 01-235 Jewel Changi Airport, Singapore 819666 Singapore","78 Airport Boulevard 01, #235, Singapore 819666",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,ChIJi4FZgx492jERofzb26AVA3U,nil,1.3603912,103.989642,"Sun09:00 AM - 11:00 PM,Mon09:00 AM - 11:00 PM,Tue09:00 AM - 11:00 PM,Wed09:00 AM - 11:00 PM,Thu09:00 AM - 11:00 PM,Fri09:00 AM - 11:00 PM,Sat09:00 AM - 11:00 PM",,nil,nil,nil,nil,4.5,6,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,Josephine - French Cuisine &amp; Wine Bar,"97 Amoy Street, Singapore 069917 Singapore","97 Amoy St, Singapore 069917",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJCUwhhHIZ2jERXb0jHir4N6Y,nil,1.2813531,103.8472588,"Mon11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Tue11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Wed11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Thu11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Fri11:45 AM - 2:00 PM6:00 PM - 10:30 PM,Sat11:45 AM - 2:00 PM6:00 PM - 10:30 PM",nil,50,50,50,nil,5,362,True,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,Positano Risto,"66 Bussorah Street, Singapore 199479 Singapore","66 Bussorah St, Singapore 199479",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJKeStBbEZ2jERHH8jl7CCHjs,2,1.3010659,103.8598629,"Sun11:30 AM - 9:30 PM,Mon11:30 AM - 9:30 PM,Tue11:30 AM - 9:30 PM,Wed11:30 AM - 9:30 PM,Thu11:30 AM - 9:30 PM,Fri11:30 AM - 10:30 PM,Sat11:30 AM - 10:30 PM",nil,45,45,45,40,5,"1,766",True,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,15,NOX - Dine In The Dark,"83 Club Street, Singapore 199546 Singapore","83 Club St, Singapore 069451",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ8aeYp7EZ2jER1_QRLriAt_E,3,1.281828,103.8458368,"Sun6:00 PM - 12:00 AM,Tue6:00 PM - 12:00 AM,Wed6:00 PM - 12:00 AM,Thu6:00 PM - 12:00 AM,Fri6:00 PM - 12:00 AM,Sat6:00 PM - 12:00 AM",,45,45,40,45,4.5,"2,023",True,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,16,Hua Ting Restaurant,"442 Orchard Road Orchard Hotel Singapore Level 2 Orchard Hotel Singapore, Singapore 238879 Singapore","Orchard Hotel Singapore, Level 2, 442 Orchard Rd, Singapore 238879",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJxVQqvIwZ2jER4WhnK5h7S0g,nil,1.3073141,103.8289099,"Sun11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Mon11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:30 AM - 2:30 PM6:00 PM - 10:00 PM,Sat11:00 AM - 2:30 PM6:00 PM - 10:00 PM",nil,45,40,35,35,4.5,679,True,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,Whitegrass,"30 Victoria Street #01-26 Chijmes, Singapore 187996 Singapore","30 Victoria St, #01-26/27 CHIJMES, Singapore 187996",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJkZFsaaQZ2jERNwIpeScG3vM,nil,1.2955575,103.8519487,"Tue12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:30 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:30 PM",nil,45,45,45,45,4.5,418,True,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,18,Chef's Table by Chef Stephan Zoisl,"61 Tras Street, Singapore 079000 Singapore","61 Tras St, Singapore 079000",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJ63aALm0Z2jERphNXNlGRGRk,4,1.2778263,103.8444436,"Tue6:00 PM - 12:00 AM,Wed6:00 PM - 12:00 AM,Thu6:00 PM - 12:00 AM,Fri12:00 PM - 3:00 PM6:00 PM - 12:00 AM,Sat6:00 PM - 12:00 AM",,50,50,45,45,5,445,True,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,19,Fat Belly Social Steakhouse,"10 Jalan Serene #01-04 Serene Centre, Singapore 069620 Singapore","10 Jalan Serene, #01-04 Serene Centre, Singapore 258748",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,ChIJYWYikAYa2jER6ugFpTiBKWA,nil,1.3225386,103.8136409,"Mon11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Tue11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Wed11:30 AM - 3:30 PM5:30 PM - 10:30 PM,Thu11:30 AM - 3:30 PM5:30 PM - 11:00 PM,Fri11:30 AM - 3:30 PM5:30 PM - 11:00 PM,Sat5:30 PM - 11:00 PM",,50,50,45,nil,5,99,True,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
