,name,location,working_hours,price_range,tags,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt
5114,LeNu (Northpoint City),"930 Yishun Avenue 2 Northpoint City South Wing #B1-101, Singapore 769098 Singapore",None,,"Chinese,Asian,Taiwanese",40,40,35,nil,4.0,9
5115,Leong Ji Seafood,"21 Hougang Street 51 Hougang Green Shopping Mall #01-51 Hougang Green Shopping Mall, Singapore 538719 Singapore",None,,,nil,nil,nil,nil,4.0,10
5116,The Food Peeps Coffee &amp; Deli,"34 Sago Street, Singapore 059026 Singapore","Sun08:00 AM - 5:00 PM,Mon08:00 AM - 5:00 PM,Tue08:00 AM - 5:00 PM,Thu08:00 AM - 5:00 PM,Fri08:00 AM - 5:00 PM,Sat08:00 AM - 5:00 PM",,"Cafe,Asian",nil,nil,nil,nil,5.0,3
5119,Subway,"80 Marine Parade Road Parkway Parade #B-83C Parkway Parade, Singapore 449269 Singapore",None,,American,nil,nil,nil,nil,4.0,10
5120,Torii Izakaya,"32 Duxton Road, Singapore 089496 Singapore",None,,Japanese,nil,nil,nil,nil,5.0,4
5121,Plain Vanilla Bakery,"2 Orchard Turn Ion Orchard B1-06, Singapore 238801 Singapore","Sun11:00 AM - 8:00 PM,Mon11:00 AM - 8:00 PM,Tue11:00 AM - 8:00 PM,Wed11:00 AM - 8:00 PM,Thu11:00 AM - 8:00 PM,Fri11:00 AM - 8:00 PM,Sat11:00 AM - 8:00 PM",,"Dessert,European",nil,nil,nil,nil,4.0,11
5122,Riviera The Restaurant ,"1 Fullerton Road #02-06 One Fullerton, Singapore 049213 Singapore","Tue12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Wed12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Thu12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Fri12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Sat12:00 PM - 2:30 PM6:30 PM - 11:00 PM",,"Italian,French,Mediterranean",nil,nil,nil,nil,5.0,3
5123,Sergeant Chicken Rice,"3rd floor, Vivocity Mall Harbour Front, Singapore Singapore",None,,Chinese,45,45,45,nil,4.5,9
5125,Thye Chong Restaurant,"168 Serangoon Road, Singapore 218051 Singapore",None,nil,,45,40,45,nil,4.5,7
5126,Lady M Confections,"30 Beach Road Jw Marriott Singapore South Beach JW Marriott Hotel, Singapore 189763 Singapore",None,,"Dessert,Cafe",nil,nil,nil,nil,3.5,22
5127,Tori-Q,"290 Orchard Road The Paragon Paragon Shopping Centre, Singapore 238859 Singapore","Sun10:30 AM - 9:30 PM,Mon10:30 AM - 9:30 PM,Tue10:30 AM - 9:30 PM,Wed10:30 AM - 9:30 PM,Thu10:30 AM - 9:30 PM,Fri10:30 AM - 9:30 PM,Sat10:30 AM - 9:30 PM",,Asian,nil,nil,nil,nil,4.5,6
5128,The New Ting,"Hillview 2, 4 Hillview Rise, #01-11, Singapore 667979 Singapore",None,nil,,nil,nil,nil,nil,5.0,4
5129,Kyuubei Izakaya,"1 Netheravon Road Floor 01 Village Hotel Changi 03 Village Hotel Changi, Singapore 508502 Singapore","Sun12:00 PM - 10:30 PM,Mon12:00 PM - 10:30 PM,Tue12:00 PM - 10:30 PM,Wed12:00 PM - 10:30 PM,Thu12:00 PM - 10:30 PM,Fri12:00 PM - 10:30 PM,Sat12:00 PM - 10:30 PM",,"Japanese,Bar,Sushi",nil,nil,nil,nil,4.5,6
5131,ROJAK LINE - The Finest Rojak,"44 Holland Drive #02-13 Holland Drive Market &amp; Food Centre, Singapore 270044 Singapore","Sun12:00 PM - 8:00 PM,Mon12:00 PM - 8:00 PM,Thu12:00 PM - 8:00 PM,Fri12:00 PM - 8:00 PM,Sat12:00 PM - 8:00 PM",,"Asian,Street Food,Singaporean",nil,nil,nil,nil,4.0,11
5132,Coriander Leaf,"80 Mount Pleasant Road Singapore Polo Club Singapore Polo Club, Singapore 298334 Singapore",None,,,nil,nil,nil,nil,5.0,3
5133,Khao Hom,"5 Ang Mo Kio Central 2 Djit Sun Mall 2 Djitsun Mall, Singapore 569663 Singapore",None,,,nil,nil,nil,nil,5.0,3
5134,Sher North Indian Cuisine,"453 Sembawang Road Sembawang Park, Singapore 758405 Singapore",None,,Indian,nil,nil,nil,nil,4.5,7
5135,Liho Tea,"50 Beach View Beach Lrt Station Sentosa Beach Station, Singapore 098604 Singapore","Sun11:00 AM - 9:00 PM,Mon11:00 AM - 8:00 PM,Tue11:00 AM - 8:00 PM,Wed11:00 AM - 8:00 PM,Thu11:00 AM - 8:00 PM,Fri11:00 AM - 9:00 PM,Sat11:00 AM - 9:00 PM",,"Dessert,Fast food,Asian",nil,nil,nil,nil,4.0,8
5137,Rickshaw Noodle,"1 Kadayanallur Street, Singapore 069184 Singapore",None,,Asian,nil,nil,nil,nil,4.5,8
5138,Katong Jago Fried Kway Teow,"228 East Coast Road Jago Close, Singapore 428925 Singapore",None,nil,,nil,nil,nil,nil,5.0,4
5139,Foreword Coffee,"28 Orchard Road Temasek Shophouse, Singapore 238832 Singapore","Sun11:15 AM - 4:15 PM,Mon08:15 AM - 6:30 PM,Tue08:15 AM - 6:30 PM,Wed08:15 AM - 6:30 PM,Thu08:15 AM - 6:30 PM,Fri08:15 AM - 6:30 PM,Sat11:15 AM - 4:15 PM",,Cafe,nil,nil,nil,nil,4.0,7
5140,The BAR Station at ARC380,"380 Jalan Besar #01-06/07/08, Singapore 209000 Singapore","Sun11:00 AM - 9:30 PM,Mon11:00 AM - 9:30 PM,Tue11:00 AM - 9:30 PM,Wed11:00 AM - 9:30 PM,Thu11:00 AM - 9:30 PM,Fri11:00 AM - 9:30 PM,Sat11:00 AM - 9:30 PM",,"Italian,Bar,Pizza",nil,nil,nil,nil,4.5,5
5141,Hola! Mexico,"21 Cuppage Road Cuppage Terrace, Singapore 229452 Singapore","Sun12:00 PM - 10:30 PM,Mon12:00 PM - 10:30 PM,Tue12:00 PM - 10:30 PM,Wed12:00 PM - 10:30 PM,Thu12:00 PM - 10:30 PM,Fri12:00 PM - 10:30 PM,Sat12:00 PM - 10:30 PM",,Mexican,nil,nil,nil,nil,4.5,7
5143,Seng Hoe Fishball Minced Meat Noodles,"Block 50A Marine Terrace Marine Parade Hawker's Centre #01-277 Marine Parade Food Centre, Singapore 441050 Singapore",None,,,nil,nil,nil,nil,4.0,11
5144,Westlake Eating House,"HDB Block 4, Queen's Road #02-139, Singapore 260004 Singapore","Sun11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Mon11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Tue11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Wed11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Thu11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Fri11:00 AM - 2:30 PM6:00 PM - 10:00 PM,Sat11:00 AM - 2:30 PM6:00 PM - 10:00 PM",,"Chinese,Asian",30,30,35,nil,3.5,24
5145,Nunsaram Korean Dessert Cafe,"181 Orchard Road Orchard Central Floor 05 Unit 52 51 Orchard Central, Singapore 238896 Singapore",None,,"Dessert,Cafe,Asian",40,35,30,nil,3.5,31
5146,Whitley Road Big Prawn Noodle,"51 Old Airport Road Old Airport Road Hawkers' Centre Old airport road Food Center, Singapore 390051 Singapore",None,,"Chinese,Asian,Soups",nil,nil,nil,nil,3.5,16
5147,Buddy Hoagies @ DjitSun Mall,"5 Ang Mo Kio, Central 2, #01-08/09, DjitSun Mall, Singapore 569663 Singapore",None,,Steakhouse,nil,nil,nil,nil,4.0,8
5149,Dimbulah Cafe,"3 Phillip Street Royal Group Building Ste 01-02, Royal Group Building, Singapore 048693 Singapore",None,,,nil,nil,nil,nil,4.0,11
5150,Salad Stop,"238 Thomson Road #02-24 Novena Square Novena Square, Singapore 307683 Singapore",None,,Quick Bites,nil,nil,nil,nil,4.0,17
5151,Monzen@Gardens,"1 Maju Ave, #01-09/10, Singapore 556679 Singapore",None,,,nil,nil,nil,nil,4.5,5
5152,Hanoi Vietnamese Restaurant,"100 Tras Street 100 am 100 AM Shopping Mall, Singapore 079027 Singapore","Sun11:00 AM - 9:30 PM,Mon11:00 AM - 9:30 PM,Tue11:00 AM - 9:30 PM,Wed11:00 AM - 9:30 PM,Thu11:00 AM - 9:30 PM,Fri11:00 AM - 9:30 PM,Sat11:00 AM - 9:30 PM",,"Vietnamese,Vegetarian Friendly",40,40,35,nil,4.0,13
5153,Bangkok Street Mookata,"Block 498, Jurong West Street 41, Singapore 640498 Singapore",None,,"Barbecue,Thai",40,35,40,nil,4.0,10
5156,Patties &amp; Wiches,"391 Orchard Road Ngee Ann City No. 03-10A, Takashimaya Shopping Centre, Singapore 238872 Singapore",None,,,40,40,40,nil,3.5,18
5157,Skinny Pizza,"3 Temasek Boulevard # 01 Suntec City Mall 002, Singapore 038983 Singapore",None,,"Italian,Pizza",35,35,35,35,3.5,48
5158,Xiang Xiang Traditional Taiwanese Cuisine,"799 New Upper Changi Road #01-04 Bedok Point, Singapore 467351 Singapore",None,,"Chinese,Asian,Taiwanese",nil,nil,nil,nil,4.0,6
5159,Marcy's,"39-40 Duxton Rd, Singapore 089503 Singapore","Mon5:00 PM - 10:30 PM,Tue5:00 PM - 10:30 PM,Wed5:00 PM - 10:30 PM,Thu5:00 PM - 10:30 PM,Fri5:00 PM - 10:30 PM,Sat5:00 PM - 10:30 PM",,"Italian,Latin,Seafood",nil,nil,nil,nil,4.5,4
5160,Kim Keat Hokkien Mee,"92 Lorong 4 Toa Payoh Toa Payoh Palm Spring, Singapore 310092 Singapore",None,,"Asian,Singaporean",nil,nil,nil,nil,4.0,9
5162,Geylang Prawn Noodle,"327 Upper Paya Lebar Road, Singapore 534972 Singapore",None,,Asian,nil,nil,nil,nil,3.5,12
5163,Eighteen Chefs,"No. 1 Fusionopolis Way Connexis Connexis, #B1-12/13, Singapore 138632 Singapore",None,,,35,35,35,nil,4.0,16
5164,Le Coq,"25 Church Street Capital Square 01-04, Singapore 049482 Singapore","Mon11:00 AM - 12:00 AM,Tue11:00 AM - 12:00 AM,Wed11:00 AM - 12:00 AM,Thu11:00 AM - 12:00 AM,Fri11:00 AM - 12:00 AM,Sat4:00 PM - 12:00 AM",,"French,Japanese,Asian",nil,nil,nil,nil,4.5,7
5165,Co+Nut+Ink,"1 Esplanade Drive #01-K7 220 Orchard Road Midpoint Orchard, Singapore 038981 Singapore","Sun09:00 AM - 5:00 PM,Mon10:00 AM - 10:00 PM,Tue10:00 AM - 10:00 PM,Wed10:00 AM - 10:00 PM,Thu10:00 AM - 10:00 PM,Fri10:00 AM - 11:00 PM,Sat09:00 AM - 11:00 PM",,"Asian,Thai,Singaporean",nil,nil,nil,nil,5.0,4
5166,Chinois by Susur Lee,"26 Sentosa Gateway #02-142/143Hotel MichaelResorts World Sentosa, Singapore 098269 Singapore",None,,"Chinese,Asian",40,35,30,40,3.5,36
5168,Yellow Cup Coffee,"8 Shenton Way #1-02 Axa Tower AXA Tower, Singapore 068811 Singapore",None,,Cafe,45,45,40,nil,4.0,12
5169,Tisettanta Lounge,"11 Canning Walk Hotel Fort Caning Hotel Fort Canning, Singapore 178881 Singapore","Sun11:00 AM - 12:00 AM,Mon11:00 AM - 12:00 AM,Tue11:00 AM - 12:00 AM,Wed11:00 AM - 12:00 AM,Thu11:00 AM - 12:00 AM,Fri11:00 AM - 12:00 AM,Sat11:00 AM - 12:00 AM",,,nil,nil,nil,nil,4.0,12
5170,R&amp;B Tea,"6 Raffles Boulevard Marina Square #04-101/102 R&amp;B Marina Square, Cookhouse, Singapore 039594 Singapore",None,,"Diner,Taiwanese,Singaporean",nil,nil,nil,nil,4.0,11
5171,Matt's The Chocolate Shop,"44 Amoy Street, Singapore 069870 Singapore",None,,"Dessert,International",nil,nil,nil,nil,4.5,8
5172,Cuppage Isle Cafe,"5 Koek Road Cuppage Plaza #01-04, Singapore 228796 Singapore",None,nil,,nil,nil,nil,nil,4.0,12
5174,McDonald's,"3 Temasek Boulevard Suntec City Mall Suntec City, East Wing, #02-732/733, Singapore 038983 Singapore",None,,American,nil,nil,nil,nil,3.5,14
5175,Hup Kee Fried Oyster Omelette,"500 Clemenceau Avenue North #01-73 Newton Food Centre, Singapore 229495 Singapore",None,nil,,nil,nil,nil,nil,4.5,5
5176,Lady M,"6 Scotts Road Scotts Square Scotts Square, Singapore 228209 Singapore",None,,"Dessert,American,Cafe",40,35,30,nil,3.5,21
5177,Lady Wu,"11 North Canal Road Attic Level, The Offshore Building, Singapore 048824 Singapore","Mon5:00 PM - 01:00 AM,Tue5:00 PM - 01:00 AM,Wed5:00 PM - 01:00 AM,Thu5:00 PM - 01:00 AM,Fri5:00 PM - 01:00 AM,Sat5:00 PM - 01:00 AM",,"Chinese,Southwestern,Bar",nil,nil,nil,nil,5.0,4
5178,Venus Cafe,"UE Shopping Mall District 10, Singapore Singapore",None,,,nil,nil,nil,nil,5.0,6
5180,Blackball Singapore,"201 Victoria Street #01-14 Bugis+, Singapore 188067 Singapore",None,,"Dessert,Asian,Taiwanese",40,30,35,nil,4.0,20
5181,Kampong Café,"3500A Bukit Merah Central Bukit Merah Swimming Complex Inside Sports Lifestyle Center, Singapore 159838 Singapore","Sun08:00 AM - 7:00 PM,Mon08:00 AM - 7:00 PM,Tue08:00 AM - 7:00 PM,Wed08:00 AM - 7:00 PM,Thu08:00 AM - 7:00 PM,Fri08:00 AM - 7:00 PM,Sat08:00 AM - 7:00 PM",,"Cafe,Asian,Malaysian",45,40,40,30,4.0,14
5182,Flame Cafe,"73 Upper Paya Lebar Road Floor 1 Centro Bianco Centro Bianco Building, Singapore 534818 Singapore",None,,,35,35,35,35,3.5,73
5183,Tonkichi,"4 Tampines Central 5 Tampines Mall, Singapore 529510 Singapore",None,,,35,40,35,nil,4.0,12
5184,Hoo Kee Rice Dumpling,"7 Maxwell Road Mnd Building Annexe B #01-18 Amoy Street Food Centre, Singapore 069111 Singapore",None,nil,,40,35,35,nil,4.0,11
5186,Ji De Chi Dessert Jurong Point,"63 Jurong West Central 3 Jurong Point #03-102/103/104 Jurong Point 2, Singapore 648331 Singapore","Sun10:00 AM - 10:00 AM,Mon10:00 AM - 10:00 AM,Tue10:00 AM - 10:00 AM,Wed10:00 AM - 10:00 AM,Thu10:00 AM - 10:00 AM,Fri10:00 AM - 10:00 AM,Sat10:00 AM - 10:00 AM",,Singaporean,nil,nil,nil,nil,4.5,7
5187,Thai Boat Noodle,"799 New Upper Changi Road Bedok Point Bedok Point #02-32/34, Singapore 467351 Singapore",None,,,nil,nil,nil,nil,4.0,9
5188,Tori-q,"9 Bishan Place Junction 8 Shopping Centre Jct 8 Shopping Ctr, Singapore 579837 Singapore",None,nil,,40,35,40,nil,4.0,11
5189,The Soup Spoon,"2 Marina Green 43 Unit 41 42, Singapore 019800 Singapore",None,,"Deli,Healthy",40,35,40,nil,4.5,8
5190,Koat Aroy,"1 Irving Road Sarika Connoisseur Building, Singapore 369520 Singapore",None,,Cafe,nil,nil,nil,nil,5.0,4
5193,Poulet,"3 Gateway Drive Westgate #01-07 Westgate, Singapore 608532 Singapore","Sun11:30 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat11:30 AM - 10:00 PM",,"French,European",35,35,30,35,3.5,63
5194,ABC Nasi Kandar Pte Ltd,"67 Desker Road, Singapore 209590 Singapore",None,,"Indian,Asian,Vegetarian Friendly",40,35,35,nil,3.5,29
5195,Dian Xiao Er,"1 Jurong West Central 2 Jurong Point #03-26/27, Jurong Point,, Singapore 648886 Singapore",None,,"Chinese,Asian",35,35,30,nil,3.5,24
5196,Aayisha Briyani House,"9 North Canal Road, Singapore 048822 Singapore",None,,Halal,45,45,45,nil,4.5,13
5197,5 Little Bears,"60 Paya Lebar Road Paya Lebar Square B1-09 South, Singapore 409051 Singapore",None,,"Chinese,Asian,Taiwanese",40,30,40,nil,4.0,16
5199,Harry's Tai Seng,"18 Tai Seng Street 18 Tai Seng #01-k4/23-25, Singapore 539775 Singapore","Sun11:00 AM - 11:00 PM,Mon11:00 AM - 11:00 PM,Tue11:00 AM - 11:00 PM,Wed11:00 AM - 11:00 PM,Thu11:00 AM - 10:30 PM,Fri11:00 AM - 11:00 PM,Sat11:00 AM - 11:00 PM",,"Italian,Brew Pub,Southwestern",nil,nil,nil,nil,4.0,10
5200,Da Dong Restaurant (Fatty Weng),"39 Smith St, Singapore 058952 Singapore",None,,"Chinese,Asian,Cantonese",35,30,25,30,3.5,78
5201,Heniu Teppanyaki,"313 Orchard Road 313 @ Somerset Parkway Parade #B1 Food Republic, Singapore 238895 Singapore","Sun11:00 AM - 10:00 PM,Mon11:00 AM - 10:00 PM,Tue11:00 AM - 10:00 PM,Wed11:00 AM - 10:00 PM,Thu11:00 AM - 10:00 PM,Fri11:00 AM - 10:00 PM,Sat11:00 AM - 10:00 PM",,Japanese,35,35,40,nil,3.5,27
5202,My Kitchen,"308 Tanjong Katong Road, Singapore 437091 Singapore",None,nil,,nil,nil,nil,nil,4.5,5
5203,You Tiao Man,"127 Lorong 1 Toa Payoh Toa Payoh Heights #02-05, Singapore 310127 Singapore",None,,"Asian,Singaporean",50,50,50,nil,5.0,5
5205,Fragrance,"205 New Bridge Road Chinatown Market Exit A, Singapore 059430 Singapore",None,,"Asian,Singaporean",nil,nil,nil,nil,4.5,7
5206,The dabang,"52 Tanjong Pagar Road, Singapore 088473 Singapore",None,,"Asian,Korean",50,50,45,nil,4.5,9
5207,La Jiang Shan Hotpot,"35 Selegie Road #01-06 Parklane Shopping Mall Parklane, Singapore 188307 Singapore",None,,,nil,nil,nil,nil,5.0,4
5208,Salaam Bombay,"1 Fusionopolis Pl #2-03 Galaxis, Singapore 138542 Singapore",None,,,nil,nil,nil,nil,4.5,8
5209,Chicken Hotpot,"133 New Bridge Road Chinatown Point #01-44, Chinatown Point, Singapore 059413 Singapore","Sun11:00 AM - 10:00 PM,Mon11:00 AM - 10:00 PM,Tue11:00 AM - 10:00 PM,Wed11:00 AM - 10:00 PM,Thu11:00 AM - 10:00 PM,Fri11:00 AM - 10:00 PM,Sat11:00 AM - 10:00 PM",,Soups,nil,nil,nil,nil,4.5,6
5211,Jadeite Vegetarian Restaurant,"470 North Bridge Road #03-21 Bugis Cube, Singapore 188735 Singapore","Mon11:00 AM - 08:00 AM,Tue11:00 AM - 08:00 AM,Wed11:00 AM - 08:00 AM,Thu11:00 AM - 08:00 AM,Fri11:00 AM - 08:00 AM,Sat11:00 AM - 05:00 AM",,"Chinese,Vegetarian Friendly,Vegan Options",nil,nil,nil,nil,4.5,7
5212,Teo Heng Porridge Stall,"531A Upper Cross Street Hong Lim Complex #01-56 Hong Lim Food Centre, Singapore 051531 Singapore",None,nil,,nil,nil,nil,nil,4.5,5
5213,Dulukala Peranakan Restaurant,"144 Upper Bukit Timah Road #04-04 Beauty World Centre, Singapore 588177 Singapore","Sun11:30 AM - 3:00 PM6:00 PM - 9:00 PM,Mon11:30 AM - 3:00 PM6:00 PM - 9:00 PM,Tue11:30 AM - 3:00 PM6:00 PM - 9:00 PM,Wed11:30 AM - 3:00 PM6:00 PM - 9:00 PM,Thu11:30 AM - 3:00 PM6:00 PM - 9:00 PM,Fri11:30 AM - 3:00 PM6:00 PM - 9:00 PM,Sat11:30 AM - 3:00 PM6:00 PM - 9:00 PM",,"Asian,Singaporean,Nonya/Malaysian",40,30,35,30,3.5,29
5214,The Soup Spoon Union,"252 North Bridge Road Raffles City Shopping Centre #B1-61 Raffles City Shopping Centre, Singapore 179103 Singapore","Sun11:00 AM - 10:00 PM,Mon11:00 AM - 10:00 PM,Tue11:00 AM - 10:00 PM,Wed11:00 AM - 10:00 PM,Thu11:00 AM - 10:00 PM,Fri11:00 AM - 10:30 PM,Sat11:00 AM - 10:00 PM",,"Soups,Vegetarian Friendly",35,30,30,nil,3.5,25
5215,Stella,"11 Changi Coast Walk Safra Resort Sea Sports Centre NSRCC Sea Sports Centre, Singapore 499740 Singapore","Sun09:00 AM - 12:00 AM,Mon12:00 PM - 12:00 AM,Tue12:00 PM - 12:00 AM,Wed12:00 PM - 12:00 AM,Thu12:00 PM - 12:00 AM,Fri12:00 PM - 12:00 AM,Sat09:00 AM - 12:00 AM",,"Bar,Pub",30,35,35,nil,3.5,34
5217,Jane Thai Orchard,"400 Orchard Road #04-30 Orchard Towers Orchard Tower, Singapore 238875 Singapore","Sun6:00 PM - 03:00 AM,Tue6:00 PM - 03:00 AM,Wed6:00 PM - 03:00 AM,Thu6:00 PM - 03:00 AM,Fri6:00 PM - 03:00 AM,Sat6:00 PM - 03:00 AM",,"Asian,Thai",45,45,45,nil,4.5,12
5218,Haig Road Putu Piring,"1 Geylang Serai Sri Geylang Serai, Singapore 402001 Singapore",None,,Malaysian,nil,nil,nil,nil,4.5,5
5219,13 Stages,"1 Stadium Place #01-41 Kallang Wave Mall, Singapore 397628 Singapore",None,,,nil,nil,nil,nil,4.0,9
5220,Hanare Japanese Café,"99B Tanjong Pagar Road, Singapore 088520 Singapore",None,,Asian,nil,nil,nil,nil,4.0,12
5221,Tomyum Mama,"244P Upper Thomson Road Thomson Garden Estate, Singapore 574369 Singapore",None,,,nil,nil,nil,nil,4.5,5
5223,Shin Kushiya,"33 Pekin St #01-01 Far East Square, Singapore 048763 Singapore",None,,,nil,nil,nil,nil,4.5,8
5224,Craftsman Speciality Coffee shop,"6 Eu Tong Sen Street The Central Clarke Quay Central, Singapore 059817 Singapore",None,,Cafe,nil,nil,nil,nil,3.5,30
5225,Hammee's,"31 Commonwealth Crescent Market #02-93, Singapore 149644 Singapore","Sun11:00 AM - 5:00 PM,Tue11:00 AM - 5:00 PM,Wed11:00 AM - 5:00 PM,Thu11:00 AM - 5:00 PM,Fri11:00 AM - 5:00 PM,Sat11:00 AM - 5:00 PM",,"Quick Bites,American,Fast food",nil,nil,nil,nil,4.0,11
5226,Long Black Cafe,"20 Biopolis Way Centros Centros Block, Singapore 138668 Singapore","Mon08:00 AM - 8:00 PM,Tue08:00 AM - 8:00 PM,Wed08:00 AM - 8:00 PM,Thu08:00 AM - 8:00 PM,Fri08:00 AM - 8:00 PM",,,nil,nil,nil,nil,4.0,14
5227,Avorush,"12 Marina View Asia Square Tower 2 #02-23 Food Garden, Asia Square Tower 2, Singapore 018961 Singapore","Mon08:00 AM - 6:00 PM,Tue08:00 AM - 6:00 PM,Wed08:00 AM - 6:00 PM,Thu08:00 AM - 6:00 PM,Fri08:00 AM - 6:00 PM",,"Quick Bites,Fusion,Healthy",nil,nil,nil,nil,4.0,13
5230,Brother Bird,"30 Bali Lane, Singapore 189866 Singapore",None,,Quick Bites,40,40,35,nil,4.0,14
5231,Watami Japanese Casual Restaurant,"2 Jurong East Central 1 Jcube Unit #01-17, Singapore 609731 Singapore",None,,"Japanese,Asian",35,30,35,30,3.5,37
5232,Western Co,"35 Tyrwhitt Road, Singapore 207536 Singapore","Sun12:00 PM - 10:00 PM,Mon12:00 PM - 10:00 PM,Tue12:00 PM - 10:00 PM,Wed12:00 PM - 10:00 PM,Thu12:00 PM - 10:00 PM,Fri12:00 PM - 10:00 PM,Sat12:00 PM - 10:00 PM",,,45,40,45,nil,4.5,8
5233,Noodle Cafe - Thai Boat Noodle,"5001 Beach Road Golden Mile Complex Golden Mile Complex #B1-08, Singapore 199588 Singapore",None,,"Asian,Thai",35,40,35,nil,4.0,16
5234,Rakuichi,"545 Orchard Road Far East Shopping Centre #03-11 Far East Shopping Centre, Singapore 238882 Singapore",None,,,nil,nil,nil,nil,4.5,6
5236,Pizzamaru,"1 Northpoint Drive Northpoint City B1-192/193, South Wing Northpoint City, Singapore 768019 Singapore","Sun11:30 AM - 10:00 PM,Mon11:30 AM - 10:00 PM,Tue11:30 AM - 10:00 PM,Wed11:30 AM - 10:00 PM,Thu11:30 AM - 10:00 PM,Fri11:30 AM - 10:00 PM,Sat11:30 AM - 10:00 PM",,"Asian,Korean",nil,nil,nil,nil,4.0,7
5237,Lai Heng Mushroom Minced Meat Mee,"84C Lorong 2 Toa Payoh #01-368 Toa Payoh Peakview, Singapore 310073 Singapore",None,,Asian,40,35,40,nil,4.0,15
5238,Newton Circle Hand Made Pau,"Block 511 Bedok N St 3 Ste #01-08 Kaki Bukit 511 Market and Food Centre, Singapore 460511 Singapore",None,nil,,nil,nil,nil,nil,4.0,9
5239,The Bar and Alfresco,"Four Seasons Hotel 190 Orch Blvd, Singapore Singapore","Sun08:00 AM - 01:00 AM,Mon08:00 AM - 01:00 AM,Tue08:00 AM - 01:00 AM,Wed08:00 AM - 01:00 AM,Thu08:00 AM - 01:00 AM,Fri08:00 AM - 01:00 AM,Sat08:00 AM - 01:00 AM",,,nil,nil,nil,nil,4.5,7
5240,58 Minced Meat Noodle,"01-151, 58 New Upper Changi Rd, Singapore 461058 Singapore","Sun06:00 AM - 2:00 PM,Mon06:00 AM - 2:00 PM,Thu06:00 AM - 2:00 PM,Fri06:00 AM - 2:00 PM,Sat06:00 AM - 2:00 PM",,,nil,nil,nil,nil,5.0,4
5242,Hi Five,"4 Dunlop Street, Singapore 209334 Singapore",None,,Indian,nil,nil,nil,nil,4.0,9
5243,Sea Scent,"10 Bukit Chermin Road Keppel Club Keppel Club, Singapore 109918 Singapore","Sun11:00 AM - 10:00 PM,Mon11:00 AM - 10:00 PM,Wed11:00 AM - 10:00 PM,Thu11:00 AM - 10:00 PM,Fri11:00 AM - 10:00 PM,Sat11:00 AM - 10:00 PM",,"Asian,Fusion,Singaporean",nil,nil,nil,nil,4.0,10
5244,KK Delicacies,"389 Changi Road, Singapore 419838 Singapore",None,,"Asian,Singaporean",nil,nil,nil,nil,5.0,4
5245,Park Palace,"10 Coleman Street Grand Park City Hall, Singapore 179809 Singapore","Sun12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Mon12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Tue12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Wed12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Thu12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Fri12:00 PM - 2:30 PM6:30 PM - 11:00 PM,Sat12:00 PM - 2:30 PM6:30 PM - 11:00 PM",,"Chinese,Asian",45,40,40,40,4.0,16
5246,Patisserie Glace,"34 Craig Road #01-10 Chinatown Plaza, Singapore 089673 Singapore",None,,,nil,nil,nil,nil,4.0,14
5248,Golden Nur Nasi Briyani Special,"5 Cross Street #01-03 Interim Hawker Centre Market Street, Singapore 048418 Singapore","Sun06:30 AM - 8:00 PM,Mon06:30 AM - 8:00 PM,Tue06:30 AM - 8:00 PM,Wed06:30 AM - 8:00 PM,Thu06:30 AM - 8:00 PM,Fri06:30 AM - 8:00 PM,Sat06:30 AM - 8:00 PM",,,40,35,40,nil,4.5,10
5249,Han's Bak Kut Teh,"1220 E Coast Pkwy Stall 42 East Coast Lagoon Food Village, Singapore Singapore",None,nil,,nil,nil,nil,nil,4.5,6
5250,Happy Joy Restaurant,"201 Kim Tian Rd #01-400, Singapore 160201 Singapore","Sun10:00 AM - 3:00 PM6:30 PM - 11:00 PM,Mon11:00 AM - 3:00 PM6:30 PM - 11:00 PM,Tue11:00 AM - 3:00 PM6:30 PM - 11:00 PM,Wed11:00 AM - 3:00 PM6:30 PM - 11:00 PM,Thu11:00 AM - 3:00 PM6:30 PM - 11:00 PM,Fri11:00 AM - 3:00 PM6:30 PM - 11:00 PM,Sat10:00 AM - 3:00 PM6:30 PM - 11:00 PM",,Chinese,45,45,40,nil,4.0,13
