,name,location,working_hours,price_range,tags,foodRating,serviceRating,valueRating,atmosphereRating,overallRating,overallRatingCnt
36,Katachi Style Sushi,"15 Stamford Road The Capitol Kempinski Hotel Singapore #01-82 Capitol Kempinski, Singapore 178906 Singapore","Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",,"Japanese,Seafood,Sushi",35,25,35,nil,4.0,25
38,Ginett Restaurant &amp; Wine Bar,"200 Middle Road Hotel G Singapore, Singapore 188980 Singapore","Sun11:30 AM - 10:30 PM,Mon11:30 AM - 10:30 PM,Tue11:30 AM - 10:30 PM,Wed11:30 AM - 10:30 PM,Thu11:30 AM - 10:30 PM,Fri11:30 AM - 10:30 PM,Sat11:30 AM - 10:30 PM",nil,"French,Bar,European",45,40,45,nil,4.5,"1,091"
39,Melt Café,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore","Sun07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Mon07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Tue07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Wed07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Thu07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Fri07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM,Sat07:30 AM - 10:30 AM12:00 PM - 2:30 PM6:30 PM - 9:30 PM",nil,"International,Vegetarian Friendly,Vegan Options",40,45,40,40,4.5,"1,932"
40,Akira Back,"30 Beach Road, Access via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore","Sun12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat12:00 PM - 2:30 PM6:00 PM - 10:00 PM",,"Japanese,International,Vegetarian Friendly",45,45,40,45,4.5,939
41,Cut by Wolfgang Puck,"2 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay Sands, B1-71 , Galleria Level, Singapore 018972 Singapore","Sun5:00 PM - 10:00 PM,Mon5:00 PM - 10:00 PM,Tue5:00 PM - 10:00 PM,Wed5:00 PM - 10:00 PM,Thu5:00 PM - 10:00 PM,Fri5:00 PM - 10:00 PM,Sat5:00 PM - 10:00 PM",nil,"American,Steakhouse,Gluten Free Options",45,45,35,40,4.5,"1,559"
42,Fu Lin Men (NSRCC),"10 Changi Coast Walk Level 1 National Service Resort &amp; Country Club, Singapore 499739 Singapore","Sun10:00 AM - 3:00 PM5:30 PM - 10:30 PM,Mon11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Tue11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Wed11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Thu11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Fri11:00 AM - 3:00 PM5:30 PM - 10:30 PM,Sat10:00 AM - 3:00 PM5:30 PM - 10:30 PM",,"Chinese,Seafood,Asian",50,50,50,nil,5.0,189
43,MTR Singapore,"438 Serangoon Road Opposite Sri Srinivasa Perumal Temple, Singapore 218133 Singapore","Sun08:30 AM - 3:30 PM5:30 PM - 10:00 PM,Tue08:30 AM - 3:00 PM5:30 PM - 9:30 PM,Wed08:30 AM - 3:00 PM5:30 PM - 9:30 PM,Thu08:30 AM - 3:00 PM5:30 PM - 9:30 PM,Fri08:30 AM - 3:00 PM5:30 PM - 10:00 PM,Sat08:30 AM - 3:30 PM5:30 PM - 10:00 PM",,"Indian,Healthy,Vegetarian Friendly",45,45,45,40,4.5,"1,703"
44,Merci Marcel Orchard,"390 Orchard Road Palais Renaissance 01-03 to 04 Palais Renaissance, Singapore 238871 Singapore","Sun08:30 AM - 11:00 PM,Mon08:00 AM - 12:00 AM,Tue08:00 AM - 12:00 AM,Wed08:00 AM - 12:00 AM,Thu08:00 AM - 12:00 AM,Fri08:00 AM - 12:00 AM,Sat08:00 AM - 12:00 AM",nil,"French,Cafe,European",45,45,40,nil,5.0,201
45,Madame Fan,"32 Beach Road The South Beach Level 2, The NCO Club, Singapore 189764 Singapore","Sun11:00 AM - 3:30 PM6:00 PM - 10:00 PM,Mon12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Tue12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Wed12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Thu12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Fri12:00 PM - 2:30 PM6:00 PM - 10:00 PM,Sat11:00 AM - 3:30 PM6:00 PM - 10:00 PM",nil,"Chinese,International,Contemporary",45,45,40,45,4.5,626
46,Publico Ristorante,"1 Nanson Road Intercontinental Singapore Robertson Quay InterContinental Singapore Robertson Quay, Singapore 238909 Singapore","Sun08:30 AM - 10:30 PM,Mon12:00 PM - 11:00 PM,Tue12:00 PM - 11:00 PM,Wed12:00 PM - 11:00 PM,Thu12:00 PM - 11:00 PM,Fri12:00 PM - 11:00 PM,Sat08:30 AM - 11:00 PM",,"Italian,Pizza,International",45,45,40,45,5.0,"1,597"
47,Bar Square,"5 Fraser Street Andaz Singapore, Singapore 189354 Singapore","Sun12:00 PM - 10:30 PM,Mon12:00 PM - 10:30 PM,Tue12:00 PM - 10:30 PM,Wed12:00 PM - 10:30 PM,Thu12:00 PM - 10:30 PM,Fri12:00 PM - 11:30 PM,Sat12:00 PM - 11:30 PM",,"Quick Bites,Bar",nil,nil,nil,nil,5.0,84
48,25 Degrees,"200 Middle Road Hotel G Singapore Ground Floor, Hotel G Singapore, Singapore 188980 Singapore","Sun08:30 AM - 10:30 PM,Mon08:30 AM - 10:30 PM,Tue08:30 AM - 10:30 PM,Wed08:30 AM - 10:30 PM,Thu08:30 AM - 10:30 PM,Fri08:30 AM - 10:30 PM,Sat08:30 AM - 10:30 PM",,"American,Bar,Vegetarian Friendly",45,45,40,40,4.5,546
